x,y,z
-11070.3945,-7397.9309,-11897.8564
-10827.0135,-8146.9805,-11895.8692
-10710.7131,-8504.9164,-11617.3434
-10512.7428,-9114.2062,-11284.2478
-10097.254,-10392.9492,-10748.6402
-9475.5442,-12306.3753,-9733.952
-9473.6512,-12312.2013,-8801.4413
-9282.1443,-12901.599,-7469.173
-10001.33,-10688.1729,-7620.0819
-10137.2345,-10269.902,-6964.6427
-10311.7191,-9732.8935,-6414.6409
-10468.0515,-9251.7519,-5783.6885
-10630.4888,-8751.8213,-5083.6199
-10863.0881,-8035.9542,-4709.241
-11085.6993,-7350.8275,-4154.9546
-11341.2077,-6564.4534,-3599.9221
-13051.5153,-7071.1592,-3662.2381
-13336.296,-6615.4147,-3293.823
-13646.104,-6119.6183,-3156.7654
-13942.2441,-5645.6952,-3558.6935
-14222.7699,-5196.76,-3811.3005
-14481.4834,-4782.7318,-4130.7657
-14757.3678,-4341.2246,-4256.9692
-15362.9968,-3372.0156,-3020.8167
-15802.7588,-2668.2492,-2950.1091
-16160.2757,-2096.1026,-3163.8606
-16302.9493,-1867.7771,-3976.3938
-16473.2641,-1595.2165,-4611.5008
-16599.1771,-1393.7135,-5285.1139
-16851.2455,-990.3197,-5693.0141
-16700.4257,-1231.6819,-6704.9665
-16809.9195,-1056.4551,-7224.3244
-16751.1174,-1150.5582,-7890.5261
-16680.9479,-1262.8528,-8498.2736
-16686.3792,-1254.161,-9040.2171
-16475.5948,-1591.4865,-9624.8248
-16432.3505,-1660.6919,-10069.751
-16309.2848,-1857.6382,-10505.054
-16034.2735,-2297.7483,-10910.3453
-15653.4702,-2907.1609,-11220.476
-15093.0483,-3804.0234,-11394.8546
-14595.5042,-4600.2604,-11449.6605
-14491.1199,-4767.3102,-11542.9275
-14342.9469,-5004.4366,-11586.9369
-14277.7455,-5108.7807,-11657.0075
-14225.004,-5193.1847,-11728.0134
-14169.7674,-5281.5817,-11786.3128
-14118.9121,-5362.9672,-11840.2053
-13984.7678,-5577.643,-11748.3356
-13907.9435,-5700.5875,-11709.8826
-13860.4463,-5776.599,-11710.9444
-13818.6566,-5843.4765,-11712.957
-13780.0896,-5905.1966,-11714.0072
-13744.4544,-5962.2248,-11715.8082
